"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"11","Egypt","Buckwheat",0.0421111111111111,98423598,3000,"Import_kg",89,"Buckwheat",9,0,0.77,0.2,4.99,0,0,0,0,0,0,0,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","Egypt","Cherries",0.1289,98423598,1669000,"Import_kg",531,"Cherries",127,0.6,14.32,2.28,136.99,0.16,0,0,0.36,0,0,3.27,13.81,0,0,0.31,0,0,0,0,0,0.14,0,0.5,0.62,0.68,0,0,1.08,0,0.11
"13","Egypt","Cherries, sour",0.028,98423598,1000,"Import_kg",530,"Sour cherries",126,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","Egypt","Chestnut",0.059,98423598,40000,"Import_kg",220,"Chestnuts",44,0.18,3.51,2.01,35.87,0,0,0,0,0,0,0.45,8.47,0,0,0,0,0,0,0,0,0,0,0.58,1.06,1.21,0,0,0,0,0
"15","Egypt","Chick peas",0.04575,98423598,5672922000,"Import_kg",191,"Chick peas",33,44378.29,2449619.63,634185.66,7346932.77,264.57,0.47,46.8,17179.68,872.84,434.33,101921.31,961680.27,115.65,2527.25,39105.53,49.79,22.14,222,67.4,18475.6,12472.45,1418.33,77669.33,171779.61,335181.27,0,0,1322.64,373.94,0
"16","Egypt","Chillies and peppers, dry",4e-04,98423598,2005000,"Import_kg",689,"Pimento",156,1224.62,52190.11,45458.18,208994.09,384.17,3.46,0.28,1056.57,37.18,13.46,9279.05,113161.63,3.36,2310.85,946.85,1.42,2.22,28.1,8.78,262.28,781.74,11.09,13495.87,8666.22,31398.7,0,0,142.74,30.48,0
"17","Egypt","Cinnamon (cannella)",0.00115555555555556,98423598,2548000,"Import_kg",693,"cinnamon (canella)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Egypt","Cloves",0.0013,98423598,629000,"Import_kg",698,"Cloves",157,117.82,2125.33,4588.23,22208.65,0,0,0,275.62,4.23,1.14,501.43,10544.73,0.18,136.17,39.98,0,0,0.38,0.19,18.39,127.32,29.56,1942.79,684.79,1772.69,0,0,16.37,2.07,0
"19","Egypt","Coconuts",0.04,98423598,581000,"Import_kg",249,"Coconuts - Incl Copra",58,4.69,49.51,415.34,185.7,0,0,0,0.28,0,0,4.82,95.27,0,0.31,1.55,0,0,0,0,0.18,0.43,0,440.5,39.29,10.08,0,0,0.78,0,0.61
"20","Egypt","Coffee, green",0.00312,98423598,55511000,"Import_kg",656,"Coffee",152,3349.34,204350.01,269668.82,654385.68,18.08,0,0.31,1862.71,62.46,9.59,40236.45,0,3.73,642.91,5138.04,2.6,9.03,200.44,0.42,778.56,3377.63,6.89,598.89,4491.67,299.44,0,0,94.95,104.79,0
"21","Egypt","Currants",0.038,98423598,19000,"Import_kg",550,"Currants",135,0,0.91,0.13,15.19,0,0,0,0,0,0,0.15,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","Egypt","Dates",0.0393863636363636,98423598,5093000,"Import_kg",577,"Dates",121,26.12,230.9,38.59,6695.11,0.89,0,0,5.45,0.22,0,79.29,649.02,0,0.26,10.56,0,0,0.22,0,1.06,5.3,0,2.1,2.36,1.25,0,0,4.97,0.18,2.28
"23","Egypt","Fruit, fresh nes",0.107099201828105,98423598,235000,"Import_kg",619,"Fresh fruit; nes",147,0.2,3.4,1.7,42.97,0,0,0,0.12,0,0,0.62,7.74,0,0,0,0,0,0,0,0.16,0,0,0.27,0.19,0.26,0,0,0.17,0,0
"24","Egypt","Fruit, tropical fresh nes",0.1073859375,98423598,83000,"Import_kg",603,"Fruit; tropical fresh; nes",146,0,1.16,0.94,16.31,0,0,0,0,0,0,0.2,2.28,0,0,0,0,0,0,0,0,0,0,0.59,1.29,0.3,0,0,0,0,0
"25","Egypt","Garlic",0.00732,98423598,3582000,"Import_kg",406,"Garlic",90,60.65,2526.22,124.45,12701.32,6.61,0,0,25.56,0.69,0.58,219.51,789.28,0.24,8.66,100.83,0,0,0.27,0.5,11.53,19.39,0.66,44.5,5.22,119.08,0,0,32.52,0.72,6.46
"26","Egypt","Ginger",0.02852,98423598,2270000,"Import_kg",720,"Ginger",162,15.74,394.77,170.03,3293.53,0.23,0,0,5.75,0.45,0.15,73.02,477.38,0,1.99,7.1,0,0,0.32,0,3.33,11.86,2.69,210.18,38.74,75.13,0,0,3.76,0.18,0
"27","Egypt","Grapes",0.1235,98423598,2513000,"Import_kg",560,"Grapes",122,1.27,11.1,4.9,301.97,0.11,0,0,0.31,0,0,3.75,43.71,0,0,0.42,0,0,0,0,0.12,0.56,0,2.47,0.28,1.93,0,0,1.72,0,0.29
"28","Egypt","Hazelnuts, with shell",0.03,98423598,14000,"Import_kg",225,"Hazelnuts; with shell",49,0.28,7.4,26.11,9.91,0,0,0,0,0,0,0.32,3.63,0,0,0.15,0,0,0,0,0,0,0,1.77,12.72,10.18,0,0,0,0,0
"29","Egypt","Kiwi fruit",0.145,98423598,9752000,"Import_kg",592,"Kiwi fruit",144,4.19,72.09,46.12,939.23,6.2,0,0,2.19,0,0,22.74,170.83,0,0.3,3.04,0,0,0,0,0.44,1.06,0,4.28,4.17,15.81,0,0,5.64,0,1.71
"30","Egypt","Lentils",0.0454634146341463,98423598,36655000,"Import_kg",201,"Lentils",36,268.95,18926.83,856.54,45970.57,1.4,0,0.22,56.46,7.66,2.37,683.18,9440.89,0.95,9.4,267.3,0.32,0.19,1.79,0.5,161.95,62.8,0.98,116.32,144.58,358.79,0,0,9.41,2.21,0
"31","Egypt","Linseed",0.0178426203877423,98423598,13495000,"Import_kg",333,"Oilcrops; Other",62,400.75,14692.99,29881.81,20913.98,1.78,0,0,260.4,13.2,3.33,553.28,9490.34,0.93,25.4,424.21,0.38,0.23,2.43,0.41,33.62,255.7,2.25,3377.53,7732.33,20289.17,0,0,4.42,3.34,17.83
"32","Egypt","Maize",0.0869363057324841,98423598,8078446000,"Import_kg",56,"Maize",4,33360.5,815992.26,323158.26,6813908.47,64.74,2.08,2.2,1969.92,307.22,169.42,27814.3,488949.49,17.04,882.32,20665.73,25.18,11.18,243.52,33.46,0,10353.95,22.89,55868.33,121579.11,228075.9,0,0,1176.47,118.51,0
"33","Egypt","Maté",0.0019,98423598,47000,"Import_kg",671,"Tea",154,0.16,94.25,11.31,46.98,0.57,0,0,4.21,0.23,0,5.79,0,0,0.47,2.48,0,0,0,0,0,0.47,0,0.31,0.16,0.63,0,0,0.4,0.11,0
"34","Egypt","Millet",0.0477,98423598,41000,"Import_kg",79,"Millet",7,0.3,8.09,3.29,61.49,0,0,0,0,0,0,0.23,4.86,0,0,0.22,0,0,0,0,0.65,0.12,0,0.63,0.68,1.86,0,0,0,0,0
"35","Egypt","Mustard seed",0.0841,98423598,49000,"Import_kg",292,"Rape and Mustardseed",56,0.31,13.64,22.57,15.42,0,0,0,0.22,0,0,0.44,4.2,0,0,0.45,0,0,0,0,0,0.22,0,1.18,13.33,5.97,0,0,0,0,0
"36","Egypt","Nutmeg, mace and cardamoms",0.021,98423598,1752000,"Import_kg",702,"Nutmeg; mace; and cardamoms",160,34.03,747.1,1689.89,4283.38,0.64,0,0,14.82,1.35,0.24,54.59,1480.56,0,3.22,12.35,0,0,0,0,66.07,17.24,0.6,1020.85,431.17,146.08,0,0,1.07,0.28,0
"37","Egypt","Nuts nes",0.0310679900238414,98423598,2000,"Import_kg",234,"Nuts; nes",51,0,0.95,2.85,2.07,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.79,2.14,1.35,0,0,0,0,0
"38","Egypt","Oilseeds nes",0.0178426203877423,98423598,3536000,"Import_kg",339,"Oilcrops; Other",62,105,3849.9,7829.72,5479.94,0.47,0,0,68.23,3.46,0.87,144.97,2486.69,0.24,6.65,111.15,0,0,0.64,0.11,8.81,67,0.59,884.99,2026.05,5316.23,0,0,1.16,0.88,4.67
"39","Egypt","Onions, dry",0.093304347826087,98423598,56000,"Import_kg",403,"Onions",77,0,0.7,0,5.09,0,0,0,0,0,0,0,0.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40","Egypt","Oranges",0.138371428571429,98423598,4000,"Import_kg",490,"Oranges; Mandarines",113,0,0,0,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41","Egypt","Peaches and nectarines",0.105333333333333,98423598,9829000,"Import_kg",534,"Peaches and nectarines",128,4.56,78.83,16.4,1062.68,1.39,0,0,0.98,0,0,19.81,111.87,0,0.13,2.34,0,0,0,0,0.58,0.85,0,1.59,5.21,6.05,0,0,8.02,0,0.81
"42","Egypt","Pears",0.04975,98423598,982000,"Import_kg",521,"Pears",123,1.04,9.09,6.01,253.32,0,0,0,0.23,0,0,2.17,39.44,0,0,0.26,0,0,0,0,0.1,0.14,0,0.42,1.64,1.85,0,0,1.7,0,0.23
"43","Egypt","Peas, dry",0.0623254069051863,98423598,29011000,"Import_kg",187,"Cow peas; dry",34,156.54,10247.01,699.78,26621,0.45,0,0.19,45.68,3.66,1.98,471.65,5017.02,0.41,12.19,192.03,0.25,0,1.28,0.17,70.16,95.95,0.6,156.54,50.13,256.33,0,0,5.52,1.66,0
"44","Egypt","Pepper (piper spp.)",0.002,98423598,13782000,"Import_kg",687,"Pepper",155,2011.14,68290.58,28674.5,390860.22,55.31,0,0,2515.05,75.09,8.2,4888.71,136666.74,7.82,92.28,1120.66,0.41,0.71,8.75,1.65,79.12,1075.59,49.13,7064.38,5349.05,5650.11,0,0,135.64,23.43,0
"45","Egypt","Pineapples",0.1096,98423598,1245000,"Import_kg",574,"Pineapples",120,0.55,5.31,2.45,127.56,0.26,0,0,0.41,0,0,1.85,9.61,0,0,0.11,0,0,0,0,1.88,0.14,0,0.23,0.31,0.69,0,0,1.01,0,0.47
"46","Egypt","Pistachios",0.0315019230769231,98423598,561000,"Import_kg",223,"Pistachios",47,10.93,366,944.16,384.99,0,0,0,2.19,0.11,0,18.07,123.64,0,6.85,8.58,0,0,0,0,0,2.19,0,95.5,532.13,214.81,0,0,0,0,0.85
"47","Egypt","Plantains and others",0.104,98423598,6000,"Import_kg",489,"Plantains",118,0,0,0,1.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48","Egypt","Plums and sloes",0.0704444444444444,98423598,10512000,"Import_kg",536,"Plums and sloes",129,8.16,111.69,44.57,1877.59,2.35,0,0,2.78,0.12,0,29.82,126.35,0,0.1,3.73,0,0,0,0,0.29,1.06,0,5.08,40.48,13.19,0,0,12.67,0,0.99
"49","Egypt","Potatoes",0.133867924528302,98423598,152198000,"Import_kg",116,"Potatoes",18,92.63,2376.47,157,20697.3,18.47,0,0,10.6,1.22,0.48,432.04,1556.96,0.1,12.15,55.92,0,0,1.59,0.28,40.43,28.49,0.13,33.96,1.62,47.36,0,0,88.22,1.22,25.7
"50","Egypt","Quinoa",0.0438703703703704,98423598,1000,"Import_kg",92,"Quinoa",15,0,0.28,0.14,1.4,0,0,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51","Egypt","Rice, paddy",0.0488821264103023,98423598,1000,"Import_kg",27,"Rice (Milled Equivalent)",2,0,0.15,0,1.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52","Egypt","Rice, paddy (rice milled equivalent)",0.0488821264103023,98423598,493025000,"Import_kg",30,"Rice (Milled Equivalent)",2,3628.81,76182.69,10933.86,796365.22,0.35,0,0.19,354,22.53,12.71,1283.86,17115.51,1.53,95.96,1600.85,1.82,0.56,34.27,2.28,0,597.77,10.29,1286.07,1849.68,1721.59,0,0,120.38,8.8,0
"53","Egypt","Sesame seed",0.0154423214285714,98423598,21689000,"Import_kg",289,"Sesameseed",59,817.14,28009.08,69148.26,23345.92,0,0,0.16,1157.62,16.96,9.23,690.96,17052.8,3.42,56.16,857.53,1.04,0.46,6.65,0.85,36.53,496.6,1.74,11526.69,31125.99,33599.72,0,0,6.67,6.57,0
"54","Egypt","Sorghum",0.0326666666666667,98423598,880000,"Import_kg",83,"Sorghum",8,9.55,321.3,95.13,1952.17,0,0,0,0.84,0.17,0,8.52,92.19,0,0.26,9.82,0,0,0,0,0,6.94,0,16.7,30.96,42.64,0,0,0.28,0,0
"55","Egypt","Soybeans",0.071,98423598,4257303000,"Import_kg",236,"Soyabeans",53,24638.99,2155446.94,1060787.17,1449552.23,200.17,0.92,16.22,14466.58,530.63,242.74,91418.41,599831.27,81.85,592.63,36851.71,41.33,16.54,139.01,41.22,7060.91,14468.4,132.34,175578.35,266657.33,645320.48,0,0,545.68,308.61,0
"56","Egypt","Spices nes",0.00767204314204314,98423598,8424000,"Import_kg",723,"Spices; nes",163,263.03,11068.67,7814.13,43182.1,45.73,0.24,0.18,823.17,27.94,3.54,1240.46,18720.29,0.81,65.4,219.1,0.27,0.39,5.4,0.99,162.53,288.31,6.53,1904.28,3435.58,2159.15,0,0,41.28,6.23,11.25
"57","Egypt","Strawberries",0.127327819548872,98423598,2000,"Import_kg",544,"Strawberries",132,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58","Egypt","Sunflower seed",0.0295859213250518,98423598,102741000,"Import_kg",267,"Sunflowerseed",55,1961.45,67765.94,153914.06,105473.53,2.82,0,0.8,509.83,18.74,9.7,2760.86,41750.97,6.35,51.75,2393.33,5.5,0.8,24.03,4.75,194.41,1146.68,6.88,16679.81,48562.84,116673.96,0,0,18.16,12.27,162.3
"59","Egypt","Tangerines, mandarins, clementines, satsumas",0.138371428571429,98423598,42000,"Import_kg",495,"Oranges; Mandarines",113,0,0.24,0,3.08,0,0,0,0,0,0,0,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60","Egypt","Tea",0.0019,98423598,108858000,"Import_kg",667,"Tea",154,362.73,218292.48,26195.1,108818.8,1309.75,0,1.81,9750.4,542.08,7.25,13420.99,0,3.63,1088.19,5740.55,3.2,12.73,58.21,0,145.09,1088.19,79.44,725.46,362.73,1450.92,0,0,931.38,257.56,0
"61","Egypt","Vegetables, fresh nes",0.075156077445368,98423598,62000,"Import_kg",463,"Vegetables; fresh; nes",101,0,2.67,0.56,6.7,0,0,0,0.17,0,0,0.33,3.96,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0,0,0
"62","Egypt","Walnuts, with shell",0.0301725284440344,98423598,347000,"Import_kg",222,"Walnuts; with shell",46,7.03,183.23,684.87,164.57,0,0,0,1.03,0,0,6.14,64.27,0,0,5.13,0,0,0,0,0.42,2.57,0,59.24,150.25,477.56,0,0,0,0,0.77
"63","Egypt","Wheat",0.0442045454545455,98423598,10424423000,"Import_kg",15,"Wheat",1,80700.6,2741317.48,440264.03,16616592.1,79.87,0,9.7,10192.49,942.52,590.78,81969.64,1212373.34,112.61,1777.83,73405.29,79.7,49.12,1104.13,135.13,7475.5,32765.23,644.28,103027.77,67806.65,279612.59,0,0,2672.33,453.19,0
